Regulatory gene;Ortholog of the regulatory gene;Target gene;Ortholog of the target gene;Mode of regulation;Reference (PubMed)
pchR (AL347_21535);pchR;mvaU (AL347_30075);mvaU;?;31270321
pchR (AL347_21535);pchR;PA2698 (AL347_29920);PA2698;?;31270321
pchR (AL347_21535);pchR;PA2795 (AL347_28925);PA2795 (dusA, yjbN);?;31270321
pchR (AL347_21535);pchR;acpP (AL347_28040);acpP;?;31270321
pchR (AL347_21535);pchR;rocsS2 (AL347_27630);rocsS2;?;31270321
pchR (AL347_21535);pchR;rocA2 (AL347_27625);rocA2;?;31270321
pchR (AL347_21535);pchR;fimV (AL347_27265);fimV;?;31270321
pchR (AL347_21535);pchR;wbpM (AL347_27110);wbpM;?;31270321
pchR (AL347_21535);pchR;wbpH (AL347_27080);wbpH;?;31270321
pchR (AL347_21535);pchR;wbpG (AL347_27075);wbpG;?;31270321
pchR (AL347_21535);pchR;hisF2 (AL347_27070);hisF2;?;31270321
pchR (AL347_21535);pchR;hisH2 (AL347_27065);hisH2;?;31270321
pchR (AL347_21535);pchR;wzz (AL347_27025);wzz;?;31270321
pchR (AL347_21535);pchR;PA3190 (AL347_00580);PA3190;?;31270321
pchR (AL347_21535);pchR;PA3327 (AL347_26120);PA3327;?;31270321
pchR (AL347_21535);pchR;PA3520 (AL347_25210);PA3520;?;31270321
pchR (AL347_21535);pchR;bfrB (AL347_25155);bfrB;?;31270321
pchR (AL347_21535);pchR;algD (AL347_25110);algD;?;31270321
pchR (AL347_21535);pchR;arnB (AL347_25045);arnB;?;31270321
pchR (AL347_21535);pchR;PA3691 (AL347_24320);PA3691;?;31270321
pchR (AL347_21535);pchR;PA3835 (AL347_23570);PA3835;?;31270321
pchR (AL347_21535);pchR;PA3836 (AL347_23560);PA3836;?;31270321
pchR (AL347_21535);pchR;PA4080 (AL347_22305);PA4080;?;31270321
pchR (AL347_21535);pchR;PA4087 (AL347_22270);PA4087;?;31270321
pchR (AL347_21535);pchR;PA4139 (AL347_21995);PA4139;?;31270321
pchR (AL347_21535);pchR;phzA1 (AL347_21625);phzA1;?;31270321
pchR (AL347_21535);pchR;phzB1 (AL347_21620);phzB1;?;31270321
pchR (AL347_21535);pchR;phzC1 (AL347_21615);phzC1;?;31270321
pchR (AL347_21535);pchR;phzD1 (AL347_21610);phzD1;?;31270321
pchR (AL347_21535);pchR;phzE1 (AL347_21605);phzE1;?;31270321
pchR (AL347_21535);pchR;phzF1 (AL347_21600);phzF1;?;31270321
pchR (AL347_21535);pchR;rpoC (AL347_21325);rpoC;?;31270321
pchR (AL347_21535);pchR;arcD (AL347_15575);arcD;?;31270321
pchR (AL347_21535);pchR;PA5232 (AL347_15900);PA5232;?;31270321
pepA (AL347_23595);pepA;algD (AL347_25110);algD;?;27242034*, 18974177*, 22587778
pfeR (AL347_29975);pfeR;pfeA (AL347_29965);pfeA;+;8808923
phhR (AL347_09140);phhR;hpd (AL347_09180);hpd;+;8939433
phhR (AL347_09140);phhR;phhC (AL347_09155);phhC;+;8939433
phhR (AL347_09140);phhR;phhB (AL347_08195);phhB;+;8939433
phhR (AL347_09140);phhR;phnA (AL347_08200);phnA;+;8939433
phhR (AL347_09140);phhR;dhcA (AL347_02615);dhcA;+;8939433
phhR (AL347_09140);phhR;hmgA (AL347_02565);hmgA;+;8939433
phhR (AL347_09140);phhR;phhR (AL347_09140);phhR;-;27242034*
phoB (AL347_16560);phoB;vreI (AL347_10175);vreI;?;29729420
phoB (AL347_16560);phoB;PA0165 (AL347_18610);PA0165;?;31270321
phoB (AL347_16560);phoB;phdA (AL347_10095);phdA;?;31270321
phoB (AL347_16560);phoB;PA0959 (AL347_08410);PA0959;?;31270321
phoB (AL347_16560);phoB;qscR (AL347_03130);qscR;?;31270321
phoB (AL347_16560);phoB;mvaU (AL347_30075);mvaU;?;31270321
phoB (AL347_16560);phoB;PA2793 (AL347_29170);PA2793;?;31270321
phoB (AL347_16560);phoB;rocsS2 (AL347_27630);rocsS2;?;31270321
phoB (AL347_16560);phoB;rocA2 (AL347_27625);rocA2;?;31270321
phoB (AL347_16560);phoB;wbpH (AL347_27080);wbpH;?;31270321
phoB (AL347_16560);phoB;wbpG (AL347_27075);wbpG;?;31270321
phoB (AL347_16560);phoB;PA3190 (AL347_00580);PA3190;?;31270321
phoB (AL347_16560);phoB;oprP (AL347_26390);oprP;?;31270321
phoB (AL347_16560);phoB;PA3327 (AL347_26120);PA3327;?;31270321
phoB (AL347_16560);phoB;phnC (AL347_25810);phnC;?;31270321
phoB (AL347_16560);phoB;amrZ (AL347_25805);amrZ;?;31270321
phoB (AL347_16560);phoB;rhlR (AL347_25325);rhlR;?;31270321
phoB (AL347_16560);phoB;PA3519 (AL347_25215);PA3519;?;31270321
phoB (AL347_16560);phoB;PA3520 (AL347_25210);PA3520;?;31270321
phoB (AL347_16560);phoB;algD (AL347_25110);algD;?;31270321
phoB (AL347_16560);phoB;arnB (AL347_25045);arnB;?;31270321
phoB (AL347_16560);phoB;PA3835 (AL347_23570);PA3835;?;31270321
phoB (AL347_16560);phoB;PA4080 (AL347_22305);PA4080;?;31270321
phoB (AL347_16560);phoB;cupB3 (AL347_22285);cupB3;?;31270321
phoB (AL347_16560);phoB;PA4087 (AL347_22270);PA4087;?;31270321
phoB (AL347_16560);phoB;PA4139 (AL347_21995);PA4139;?;31270321
phoB (AL347_16560);phoB;nmoA (AL347_21670);nmoA;?;31270321
phoB (AL347_16560);phoB;phzA1 (AL347_21625);phzA1;?;31270321
phoB (AL347_16560);phoB;phzB1 (AL347_21620);phzB1;?;31270321
phoB (AL347_16560);phoB;phzC1 (AL347_21615);phzC1;?;31270321
phoB (AL347_16560);phoB;phzD1 (AL347_21610);phzD1;?;31270321
phoB (AL347_16560);phoB;phzE1 (AL347_21605);phzE1;?;31270321
phoB (AL347_16560);phoB;phzF1 (AL347_21600);phzF1;?;31270321
phoB (AL347_16560);phoB;rplC (AL347_21355);rplC;?;31270321
phoB (AL347_16560);phoB;rcpC (AL347_10360);rcpC;?;31270321
phoB (AL347_16560);phoB;ctpL (AL347_13830);ctpL;?;31270321
phoB (AL347_16560);phoB;opgG (mdoG);opgG;?;31270321
phoB (AL347_16560);phoB;pstC (AL347_16600);pstC;?;31270321
phoB (AL347_16560);phoB;PSPA7_RS26570 (AL347_13830);PSPA7_RS26570 (PSPA7_5564);?;27242034*
phoB (AL347_16560);phoB;phoU (AL347_16585);phoU;?;27242034*
phoP (AL347_07240);phoP;oprH (AL347_07245);oprH;+;10564474
phoP (AL347_07240);phoP;phoP (AL347_07240);phoP;+;10564474
phoP (AL347_07240);phoP;phoQ (AL347_07235);phoQ;+;10564474
phoP (AL347_07240);phoP;gabD (AL347_19100);gabD;+;16707691
phoP (AL347_07240);phoP;davT (AL347_19110);davT;+;16707691
phoP (AL347_07240);phoP;PA0921 (AL347_08620);PA0921;+;16707691
phoP (AL347_07240);phoP;ddaR (AL347_07150);ddaR;-;16707691, 27242034*, 18974177*, 22587778
phoP (AL347_07240);phoP;PA3309 (AL347_26210);PA3309;-;16707691
phoP (AL347_07240);phoP;mexQ (AL347_25200);mexQ;+;16707691, 27242034*, 18974177*, 22587778
phoP (AL347_07240);phoP;mucP (AL347_24530);mucP;+;16707691, 27242034*, 18974177*, 22587778
phoP (AL347_07240);phoP;tpbA (AL347_23315);tpbA;+;16707691
phoP (AL347_07240);phoP;sodB (AL347_10680);sodB;+;16707691
phoP (AL347_07240);phoP;PA4453 (AL347_11130);PA4453;+;16707691
phoP (AL347_07240);phoP;PA4454 (AL347_11135);PA4454;+;16707691
phoP (AL347_07240);phoP;PA4455 (AL347_11140);PA4455;+;16707691
phoP (AL347_07240);phoP;pcnA (AL347_14200);pcnA;-;16707691, 27242034*, 18974177*, 22587778
phoP (AL347_07240);phoP;arnB (AL347_25045);arnB;+;19243444
phoP (AL347_07240);phoP;arnC (AL347_25040);arnC;+;19243444
phoP (AL347_07240);phoP;arnA (AL347_25035);arnA;+;19243444
phoP (AL347_07240);phoP;arnD (AL347_25030);arnD;+;19243444
phoP (AL347_07240);phoP;arnT (AL347_25025);arnT;+;19243444
phoP (AL347_07240);phoP;arnE (AL347_25020);arnE;+;19243444
phoP (AL347_07240);phoP;arnF (AL347_25015);arnF;+;19243444
phoP (AL347_07240);phoP;PA3559 (AL347_25010);PA3559;+;19243444
phoP (AL347_07240);phoP;PA4010 (AL347_22660);PA4010;+;33572426
phoP (AL347_07240);phoP;PA4011 (AL347_22655);PA4011;+;33572426
phoP (AL347_07240);phoP;gabT (AL347_19110);gabT;+;27242034*, 18974177*, 22587778
phoP (AL347_07240);phoP;ackA (AL347_09335);ackA;-;27242034*, 18974177*, 22587778
phoP (AL347_07240);phoP;PA1343 (AL347_06380);PA1343;?;27242034*
phoQ (AL347_07235);phoQ;oprH (AL347_07245);oprH;+;10564474
phoQ (AL347_07235);phoQ;phoP (AL347_07240);phoP;+;10564474
phoQ (AL347_07235);phoQ;phoQ (AL347_07235);phoQ;+;10564474
phoQ (AL347_07235);phoQ;algR (AL347_16050);algR;-;27242034*, 18974177*, 22587778
phoQ (AL347_07235);phoQ;arnB (AL347_25045);arnB;-;27242034*, 18974177*, 22587778
phoQ (AL347_07235);phoQ;pmrA (AL347_13475);pmrA;-;27242034*, 18974177*, 22587778
pilR (AL347_12220);pilR;pilA;pilA;-;27242034*
pilR (AL347_12220);pilR;pilR (AL347_12220);pilR;+;27242034*
pilR (AL347_12220);pilR;pilS (AL347_12215);pilS;+;27242034*
pmrA (AL347_13475);pmrA;PA0201 (AL347_18800);PA0201;+;16707691
pmrA (AL347_13475);pmrA;cysT (AL347_19195);cysT;+;16707691
pmrA (AL347_13475);pmrA;dnr (AL347_20470);dnr;+;16707691
pmrA (AL347_13475);pmrA;metK (AL347_20575);metK;+;16707691
pmrA (AL347_13475);pmrA;mgtE (AL347_08915);mgtE;+;16707691
pmrA (AL347_13475);pmrA;pcoB (AL347_02285);pcoB;-;16707691
pmrA (AL347_13475);pmrA;pcoA (AL347_02280);pcoA;-;16707691
pmrA (AL347_13475);pmrA;PA2359 (AL347_33225);PA2359;+;16707691
pmrA (AL347_13475);pmrA;PA3515 (AL347_25235);PA3515;-;16707691
pmrA (AL347_13475);pmrA;PA3516 (AL347_25230);PA3516;-;16707691
pmrA (AL347_13475);pmrA;PA3517 (AL347_25225);PA3517;-;16707691
pmrA (AL347_13475);pmrA;PA3518 (AL347_25220);PA3518;-;16707691
pmrA (AL347_13475);pmrA;mexG (AL347_21655);mexG;-;16707691
pmrA (AL347_13475);pmrA;mexH (AL347_21650);mexH;-;16707691
pmrA (AL347_13475);pmrA;mexI (AL347_21645);mexI;-;16707691
pmrA (AL347_13475);pmrA;feoB (AL347_10635);feoB;+;16707691
pmrA (AL347_13475);pmrA;PA4359 (AL347_10640);PA4359;+;16707691
pmrA (AL347_13475);pmrA;speD2 (AL347_13460);speD2;+;16707691, 27242034*, 18974177*, 22587778
pmrA (AL347_13475);pmrA;speE2 (AL347_13465);speE2;+;16707691, 27242034*, 18974177*, 22587778
pmrA (AL347_13475);pmrA;PA4775 (AL347_13470);PA4775;+;16707691
pmrA (AL347_13475);pmrA;cueR (AL347_13485);cueR;+;16707691
pmrA (AL347_13475);pmrA;PA4781 (AL347_13505);PA4781;+;16707691
pmrA (AL347_13475);pmrA;PA4782 (AL347_13510);PA4782;+;16707691
pmrA (AL347_13475);pmrA;PA4822 (AL347_13715);PA4822;+;16707691
pmrA (AL347_13475);pmrA;PA4823 (AL347_13720);PA4823;+;16707691
pmrA (AL347_13475);pmrA;PA4824 (AL347_13725);PA4824;+;16707691
pmrA (AL347_13475);pmrA;mgtA (AL347_13730);mgtA;+;16707691
pmrA (AL347_13475);pmrA;PA4826 (AL347_13735);PA4826;+;16707691
pmrA (AL347_13475);pmrA;arnB (AL347_25045);arnB;+;19243444
pmrA (AL347_13475);pmrA;arnC (AL347_25040);arnC;+;19243444
pmrA (AL347_13475);pmrA;arnA (AL347_25035);arnA;+;19243444
pmrA (AL347_13475);pmrA;arnD (AL347_25030);arnD;+;19243444
pmrA (AL347_13475);pmrA;arnT (AL347_25025);arnT;+;19243444
pmrA (AL347_13475);pmrA;arnE (AL347_25020);arnE;+;19243444
pmrA (AL347_13475);pmrA;arnF (AL347_25015);arnF;+;19243444
pmrA (AL347_13475);pmrA;PA3559 (AL347_25010);PA3559;+;19243444
pmrA (AL347_13475);pmrA;pmrA (AL347_13475);pmrA;+;19243444
pmrA (AL347_13475);pmrA;pmrB (AL347_13480);pmrB;+;19243444
pmrA (AL347_13475);pmrA;feoA (AL347_10640);feoA;+;27242034*, 18974177*, 22587778
pmrA (AL347_13475);pmrA;PA3446 (AL347_25490);PA3446;+;27242034*, 18974177*, 22587778
pmrA (AL347_13475);pmrA;PA0202 (AL347_10555);PA0202;+;27242034*, 18974177*, 22587778
pmrB (AL347_13480);pmrB;pmrA (AL347_13475);pmrA;+;19243444
pprB (AL347_10315);pprB;vqsR (AL347_30475);vqsR;+;15882421, 27242034*, 18974177*, 22587778
pprB (AL347_10315);pprB;rpoS (AL347_24665);rpoS;+;15882421
pprB (AL347_10315);pprB;bapB (AL347_03245);bapB;+;31492668
pprB (AL347_10315);pprB;bapC (AL347_03240);bapC;+;31492668
pprB (AL347_10315);pprB;bapD (AL347_03235);bapD;+;31492668
pprB (AL347_10315);pprB;pprA (AL347_10300);pprA;+;31492668
pprB (AL347_10315);pprB;PA4294 (AL347_10305);PA4294;+;31492668
pprB (AL347_10315);pprB;pprB (AL347_10315);pprB;-;31492668
pprB (AL347_10315);pprB;tadG (AL347_10320);tadG;+;31492668
pprB (AL347_10315);pprB;PA4298 (AL347_10325);PA4298;+;31492668
pprB (AL347_10315);pprB;tadD (AL347_10330);tadD;+;31492668
pprB (AL347_10315);pprB;tadB (AL347_10340);tadB;+;31492668
pprB (AL347_10315);pprB;tadA (AL347_10345);tadA;+;31492668
pprB (AL347_10315);pprB;rcpA (AL347_10355);rcpA;+;31492668
pprB (AL347_10315);pprB;rcpC (AL347_10360);rcpC;+;31492668
pprB (AL347_10315);pprB;flp (AL347_10365);flp;+;31492668
pprB (AL347_10315);pprB;cupE1 (AL347_12760);cupE1;+;31492668
pprB (AL347_10315);pprB;cupE2 (AL347_12765);cupE2;+;31492668
pprB (AL347_10315);pprB;cupE3 (AL347_12770);cupE3;+;31492668
pprB (AL347_10315);pprB;cupE4 (AL347_12775);cupE4;+;31492668
pprB (AL347_10315);pprB;cupE5 (AL347_12780);cupE5;+;31492668
pprB (AL347_10315);pprB;cupE6 (AL347_12785);cupE6;+;31492668
pprB (AL347_10315);pprB;tadZ (AL347_10350);tadZ;+;31492668, 31492668
pprB (AL347_10315);pprB;rsaL (AL347_05610);rsaL;?;27242034*
pprB (AL347_10315);pprB;fppA (AL347_10310);fppA;?;27242034*
pprB (AL347_10315);pprB;lasB (AL347_24155);lasB;?;27242034*
pprB (AL347_10315);pprB;lasI (AL347_05605);lasI;?;27242034*
pprB (AL347_10315);pprB;tadC (AL347_10335);tadC;?;27242034*
ppyR (AL347_30095);ppyR;fhp (AL347_30090);fhp;+;19767835
ppyR (AL347_30095);ppyR;lasB (AL347_24155);lasB;-;27242034*, 18974177*, 22587778
pqrR (AL347_08505);pqrR;PA0941 (AL347_08510);PA0941;-;27242034*
pqrR (AL347_08505);pqrR;PA0940 (AL347_08515);PA0940;-;27242034*
pqrR (AL347_08505);pqrR;PA0939 (AL347_08520);PA0939;-;27242034*
pqrR (AL347_08505);pqrR;pqrR (AL347_08505);pqrR;+;27242034*
proE (AL347_16230);proE;pslA (AL347_00910);pslA;-;32582123
proE (AL347_16230);proE;pelB (AL347_27530);pelB;-;32582123
proE (AL347_16230);proE;pelA (AL347_27525);pelA;-;32582123
pruR (AL347_09615);pruR;putA (AL347_09605);putA;+;29632523
psdR (AL347_11360);psdR;mdpA (AL347_11355);mdpA;-;18667554
psdR (AL347_11360);psdR;dppA3 (AL347_11365);dppA3;-;18667554, 27242034*
psdR (AL347_11360);psdR;dppA4 (AL347_11380);dppA4;-;18667554
psdR (AL347_11360);psdR;dppB (AL347_11385);dppB;-;18667554
psdR (AL347_11360);psdR;dppC (AL347_11390);dppC;-;18667554
psdR (AL347_11360);psdR;dppD;dppD;-;18667554
psdR (AL347_11360);psdR;dppF (AL347_11400);dppF;-;18667554
PSPA7_RS29685 (AL347_16985);PSPA7_RS29685;oadA (AL347_16975);oadA;?;27242034*, 18974177*, 22587778
PSPA7_RS29685 (AL347_16985);PSPA7_RS29685;PSPA7_RS01190 (AL347_18640);PSPA7_RS01190;?;27242034*, 18974177*, 22587778
PSPA7_RS29685 (AL347_16985);PSPA7_RS29685;norC (AL347_20450);norC;?;27242034*, 18974177*, 22587778
PSPA7_RS29685 (AL347_16985);PSPA7_RS29685;PSPA7_RS29685 (AL347_16985);PSPA7_RS29685;?;27242034*, 18974177*, 22587778
PSPA7_RS29685 (AL347_16985);PSPA7_RS29685;nosZ (AL347_25770);nosZ;?;27242034*, 18974177*, 22587778
psrA (AL347_27830);psrA;exsC (AL347_04150);exsC;+;19508282
psrA (AL347_27830);psrA;exsE (AL347_04145);exsE;+;19508282
psrA (AL347_27830);psrA;exsB (AL347_04140);exsB;+;19508282
psrA (AL347_27830);psrA;exsA (AL347_04135);exsA;+;19508282
psrA (AL347_27830);psrA;fadB (AL347_04010);fadB;-;19508282
psrA (AL347_27830);psrA;rpoS (AL347_24665);rpoS;+;19508282
psrA (AL347_27830);psrA;fadE (AL347_20360);fadE;-;29220387
psrA (AL347_27830);psrA;psrA (AL347_27830);psrA;-;29220387
psrA (AL347_27830);psrA;etfA (AL347_28115);etfA;-;27242034*, 18974177*, 22587778
psrA (AL347_27830);psrA;etfB (AL347_28110);etfB;-;27242034*, 18974177*, 22587778
psrA (AL347_27830);psrA;exoS (AL347_23535);exoS;+;27242034*, 18974177*, 22587778
psrA (AL347_27830);psrA;mmsR (AL347_24945);mmsR;+;27242034*, 18974177*, 22587778
psrA (AL347_27830);psrA;PA0506 (AL347_20360);PA0506;-;27242034*, 18974177*, 22587778
psrA (AL347_27830);psrA;PA2953 (AL347_28105);PA2953;-;27242034*, 18974177*, 22587778
psrA (AL347_27830);psrA;PA3595 (AL347_24805);PA3595;?;27242034*, 18974177*, 22587778
psrA (AL347_27830);psrA;PA0507 (AL347_20365);PA0507;-;27242034*, 18974177*, 22587778
psrA (AL347_27830);psrA;PA0508 (AL347_20375);PA0508;-;27242034*, 18974177*, 22587778
psrA (AL347_27830);psrA;PA1831 (AL347_03485);PA1831;-;27242034*, 18974177*, 22587778
psrA (AL347_27830);psrA;PA1830 (AL347_03490);PA1830;-;27242034*, 18974177*, 22587778
psrA (AL347_27830);psrA;faoA (AL347_27790);faoA;-;27242034*, 18974177*, 22587778
psrA (AL347_27830);psrA;algQ (AL347_16020);algQ;-;27242034*, 18974177*, 22587778
ptxR (AL347_33740);ptxR;toxA (AL347_07415);toxA;+;9645431
ptxR (AL347_33740);ptxR;pqsA (AL347_08225);pqsA;-;16803594
ptxR (AL347_33740);ptxR;pqsB (AL347_08220);pqsB;-;16803594
ptxR (AL347_33740);ptxR;pqsC (AL347_08215);pqsC;-;16803594
ptxR (AL347_33740);ptxR;pqsD (AL347_08210);pqsD;-;16803594
ptxR (AL347_33740);ptxR;pqsE (AL347_08205);pqsE;-;16803594
ptxR (AL347_33740);ptxR;rhlI (AL347_25330);rhlI;-;16803594
ptxR (AL347_33740);ptxR;kguE (AL347_00760);kguE;+;22844393
ptxR (AL347_33740);ptxR;kguK (AL347_00760);kguK;+;22844393
ptxR (AL347_33740);ptxR;kguT (AL347_00750);kguT;+;22844393
ptxR (AL347_33740);ptxR;kguD (AL347_00745);kguD;+;22844393
ptxR (AL347_33740);ptxR;gad (AL347_00735);gad;+;22844393
ptxR (AL347_33740);ptxR;pvcA (AL347_00790);pvcA;+;30528249
ptxR (AL347_33740);ptxR;pvcB (AL347_00785);pvcB;+;30528249
ptxR (AL347_33740);ptxR;pvcC (AL347_00780);pvcC;+;30528249
ptxR (AL347_33740);ptxR;pvcD (AL347_33745);pvcD;+;30528249
ptxR (AL347_33740);ptxR;ptxS (AL347_00765);ptxS;d;24019239, 10438759
ptxS (AL347_00765);ptxS;ptxR (AL347_33740);ptxR;-;22844393
ptxS (AL347_00765);ptxS;kguE (AL347_00760);kguE;+;22844393, 22587778
ptxS (AL347_00765);ptxS;kguK (AL347_00755);kguK;+;22844393
ptxS (AL347_00765);ptxS;kguT (AL347_00750);kguT;+;22844393
ptxS (AL347_00765);ptxS;kguD (AL347_00745);kguD;+;22844393
ptxS (AL347_00765);ptxS;gad (AL347_00735);gad;+;22844393
ptxS (AL347_00765);ptxS;PA2263 (AL347_00745);PA2263;+;27242034*, 18974177*, 22587778
ptxS (AL347_00765);ptxS;ptxS (AL347_00765);ptxS;-;27242034*, 18974177*, 22587778
ptxS (AL347_00765);ptxS;PA2264 (AL347_00740);PA2264;-;27242034*, 18974177*, 22587778
ptxS (AL347_00765);ptxS;PA2265 (AL347_00735);PA2265;-;27242034*, 18974177*, 22587778
ptxS (AL347_00765);ptxS;PA2266 (AL347_00730);PA2266;-;27242034*, 18974177*, 22587778
ptxS (AL347_00765);ptxS;PA2262 (AL347_00750);PA2262;+;27242034*, 18974177*, 22587778
pvdS (AL347_32895);pvdS;toxA (AL347_07415);toxA;+;10383985
pvdS (AL347_32895);pvdS;pvcA (AL347_00790);pvcA;+;10383985
pvdS (AL347_32895);pvdS;pvcB (AL347_00785);pvcB;+;10383985
pvdS (AL347_32895);pvdS;pvcC (AL347_00780);pvcC;+;10383985
pvdS (AL347_32895);pvdS;pvcD (AL347_33745);pvcD;+;10383985
pvdS (AL347_32895);pvdS;pvdH (AL347_32960);pvdH;+;10383985
pvdS (AL347_32895);pvdS;PA4833 (AL347_13770);PA4833;+;10383985
pvdS (AL347_32895);pvdS;PA0346 (AL347_19535);PA0346;+;12207696
pvdS (AL347_32895);pvdS;PA0818 (AL347_09420);PA0818;+;12207696
pvdS (AL347_32895);pvdS;mvfR (AL347_08190);mvfR;?;29729420
pvdS (AL347_32895);pvdS;lasR (AL347_05615);lasR;?;29729420
pvdS (AL347_32895);pvdS;PA2383 (AL347_33100);PA2383;?;29729420
pvdS (AL347_32895);pvdS;rhlR (AL347_25325);rhlR;?;29729420
pvdS (AL347_32895);pvdS;ptxR (AL347_33740);ptxR;+;10383985, 29729420
pvdS (AL347_32895);pvdS;PA5204 (AL347_15755);PA5204 (argA);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA5150 (AL347_15470);PA5150;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA5131 (AL347_15310);PA5131 (pgm, yibO);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA5130 (AL347_15305);PA5130;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA5128 (AL347_15295);PA5128 (secB);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA5106 (AL347_15175);PA5106;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4796 (AL347_13580);PA4796;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4795 (AL347_13575);PA4795;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4794 (AL347_13570);PA4794;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4793 (AL347_13565);PA4793;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4656 (AL347_12800);PA4656;+;Homology from 25780925
pvdS (AL347_32895);pvdS;hemH (AL347_12795);hemH;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4431 (AL347_11020);PA4431;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4430 (AL347_11015);PA4430;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4429 (AL347_11010);PA4429;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4428 (AL347_11005);PA4428 (sspA);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4427 (AL347_11000);PA4427 (sspB);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4390 (AL347_10805);PA4390;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4290 (AL347_10285);PA4290;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4177 (AL347_21800);PA4177;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4144 (AL347_21970);PA4144;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4143 (AL347_21975);PA4143;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4142 (AL347_21980);PA4142;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA4141 (AL347_21985);PA4141;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA3641 (AL347_24570);PA3641;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA3452 (AL347_25460);PA3452 (mqoA);+;Homology from 25780925
pvdS (AL347_32895);pvdS;fprA (AL347_25745);fprA;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA3286 (AL347_00060);PA3286;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA3226 (AL347_00390);PA3226;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA3165 (AL347_26995);PA3165 (hisC2);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA2912 (AL347_28325);PA2912;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA2567 (AL347_31795);PA2567;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA2531 (AL347_31990);PA2531;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA2427 (AL347_32890);PA2427;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA2412 (AL347_32965);PA2412;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA2411 (AL347_32970);PA2411;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA2406 (AL347_32995);PA2406 (fpvK);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA2405 (AL347_33000);PA2405 (fpvJ);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA2404 (AL347_33005);PA2404 (fpvH);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA2395 (AL347_33040);PA2395 (pvdO);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA2390 (AL347_33065);PA2390 (pvdT);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA2389 (AL347_33070);PA2389 (pvdR);+;Homology from 25780925
pvdS (AL347_32895);pvdS;pvdA (AL347_33085);pvdA;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA2290 (AL347_00605);PA2290 (gcd);+;Homology from 25780925
pvdS (AL347_32895);pvdS;exsB (AL347_04140);exsB;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA1186 (AL347_07200);PA1186;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA1185 (AL347_07205);PA1185;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA1162 (AL347_07325);PA1162 (dapE);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA1161 (AL347_07330);PA1161 (rrmA);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA1160 (AL347_07335);PA1160;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA1133 (AL347_07490);PA1133;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA0938 (AL347_08530);PA0938 (wzz2);+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA0661 (AL347_21185);PA0661;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA0660 (AL347_21180);PA0660;+;Homology from 25780925
pvdS (AL347_32895);pvdS;exoT (AL347_17990);exoT;+;Homology from 25780925
pvdS (AL347_32895);pvdS;PA3285 (AL347_00065);PA3285;+;Homology from 25780925, 29729420
